IP Code,ZIP Code Type,ZIP Code Name,County
66015,Non-Unique,Colony,Anderson
66032,Non-Unique,Garnett,Anderson
66033,Non-Unique,Greeley,Anderson
66034,Non-Unique,Greeley,Anderson
66035,Non-Unique,Greeley,Anderson
66039,Non-Unique,Kincaid,Anderson
66091,Non-Unique,Welda,Anderson
66093,Non-Unique,Westphalia,Anderson
66002,Non-Unique,Atchison,Atchison
66016,Non-Unique,Cummings,Atchison
66023,Non-Unique,Effingham,Atchison
66041,Non-Unique,Lancaster,Atchison
66058,Non-Unique,Muscotah,Atchison
67057,Non-Unique,Hardtner,Barber
67061,Non-Unique,Hazelton,Barber
67070,Non-Unique,Kiowa,Barber
67071,Non-Unique,Lake City,Barber
67104,Non-Unique,Medicine Lodge,Barber
